Equipo,GolesF,GolesC,DG,Puntos,W,D,L,GolesMT_F,GolesMT_C,TirosF,TirosC,TirosPF,TirosPC,Fouls_Prov,Fouls_Rec,Corners_Fav,Corners_Con,TA_Prov,TA_Rec,TR_Prov,TR_Rec
Bayern Munich,92,28,64,84,27,3,4,44,15,589,289,236,98,348,411,223,103,42,49,0,2
Schalke 04,53,37,16,63,18,9,7,25,18,404,371,165,133,532,503,140,133,62,66,2,5
Dortmund,64,47,17,55,15,10,9,30,22,489,371,182,156,392,422,162,132,41,58,3,3
Hoffenheim,66,48,18,55,15,10,9,26,16,473,429,180,148,487,438,158,165,68,40,0,2
Leverkusen,58,44,14,55,15,10,9,22,20,509,352,172,120,438,491,171,132,58,80,4,1
RB Leipzig,57,53,4,53,15,8,11,25,25,486,387,176,151,425,488,167,157,48,66,6,4
Stuttgart,36,36,0,51,15,6,13,19,15,368,444,129,160,443,431,142,159,59,46,2,2
Ein Frankfurt,45,45,0,49,14,7,13,24,17,389,401,147,139,510,458,157,143,72,53,2,1
M'gladbach,47,52,-5,47,13,8,13,24,24,454,498,156,177,388,416,168,179,47,54,0,3
Hertha,43,46,-3,43,10,13,11,15,21,318,435,134,154,469,465,127,174,47,56,3,3
Werder Bremen,37,40,-3,42,10,12,12,17,21,433,423,153,162,509,435,181,152,55,49,0,1
Augsburg,43,46,-3,41,10,11,13,20,23,433,462,146,170,463,417,174,155,68,52,2,2
Hannover,44,54,-10,39,10,9,15,19,22,434,500,146,179,475,500,134,196,63,67,0,2
Freiburg,32,56,-24,36,8,12,14,9,23,376,483,117,158,432,429,127,171,54,52,5,0
Mainz,38,52,-14,36,9,9,16,18,28,416,432,146,146,505,437,148,190,63,75,3,3
Wolfsburg,36,48,-12,33,6,15,13,16,23,355,462,117,156,428,495,131,184,62,56,6,2
Hamburg,29,53,-24,31,8,7,19,14,23,398,441,137,143,473,463,203,178,60,61,4,3
FC Koln,35,70,-35,22,5,7,22,15,26,385,529,117,206,460,478,173,183,66,55,1,4
Barcelona,99,29,70,93,28,9,1,39,13,580,442,272,135,383,546,215,155,67,101,2,4
Ath Madrid,58,22,36,79,23,10,5,21,6,404,442,159,132,538,506,167,163,96,98,5,0
Real Madrid,94,44,50,76,22,10,6,51,16,698,393,281,148,436,531,278,134,65,98,4,3
Valencia,65,38,27,73,22,7,9,25,12,478,484,187,164,519,560,202,206,106,104,5,5
Villarreal,57,50,7,61,18,7,13,25,19,470,505,168,158,595,475,179,225,117,84,6,4
Betis,60,61,-1,60,18,6,14,22,25,415,450,165,159,466,515,139,222,92,97,3,4
Sevilla,49,58,-9,58,17,7,14,19,25,519,472,185,155,562,526,221,186,101,83,3,3
Getafe,42,33,9,55,15,10,13,16,12,370,386,135,133,674,515,181,180,132,108,5,3
Eibar,44,50,-6,51,14,9,15,17,26,476,326,142,133,493,470,229,140,84,82,3,6
Girona,50,59,-9,51,14,9,15,24,25,443,424,156,178,615,520,176,170,104,113,0,3
Celta,59,60,-1,49,13,10,15,30,30,443,450,163,164,429,571,153,194,86,98,1,2
Espanol,36,42,-6,49,12,13,13,16,21,411,482,136,166,520,556,160,196,89,115,1,3
Sociedad,66,59,7,49,14,7,17,36,28,517,386,169,153,420,558,234,166,60,95,5,1
Alaves,40,50,-10,47,15,2,21,12,20,383,534,135,181,603,541,138,235,109,87,4,4
Levante,44,58,-14,46,11,13,14,16,24,410,536,126,187,553,466,182,194,110,95,7,6
Ath Bilbao,41,49,-8,43,10,13,15,18,26,430,466,154,168,526,514,190,188,93,107,0,8
Leganes,34,51,-17,43,12,7,19,8,24,396,425,137,162,588,526,152,176,105,85,5,4
La Coruna,38,76,-38,29,6,11,21,18,36,464,530,139,184,506,461,203,221,101,72,2,2
Las Palmas,24,74,-50,22,5,7,26,9,25,410,532,128,222,482,693,175,199,89,108,3,7
Malaga,24,61,-37,20,5,5,28,14,23,402,454,117,172,613,471,152,176,100,76,8,0
Paris SG,108,29,79,93,29,6,3,50,11,628,411,255,121,425,508,255,149,67,79,6,3
Monaco,85,45,40,80,24,8,6,43,25,490,455,182,149,508,552,195,179,71,69,4,4
Lyon,87,43,44,78,23,9,6,41,21,576,433,233,153,473,555,182,188,71,79,2,7
Marseille,80,47,33,77,22,11,5,38,25,623,410,232,146,508,495,243,150,81,66,3,4
Rennes,50,44,6,58,16,10,12,18,20,474,429,153,155,486,558,218,181,66,110,5,8
Bordeaux,53,48,5,55,16,7,15,30,21,469,417,156,136,531,493,179,144,74,72,3,3
St Etienne,47,50,-3,55,15,10,13,21,26,421,529,155,184,510,510,182,219,72,70,8,4
Nice,53,52,1,54,15,9,14,24,25,483,484,183,157,443,550,203,179,85,71,4,4
Nantes,36,41,-5,52,14,10,14,18,16,499,478,139,151,490,430,176,226,68,74,6,2
Montpellier,36,33,3,51,11,18,9,15,17,493,386,158,117,444,553,185,161,72,76,2,2
Dijon,55,73,-18,48,13,9,16,26,31,445,524,162,206,490,489,153,231,70,59,5,3
Guingamp,48,59,-11,47,12,11,15,18,22,450,489,164,174,498,539,190,206,67,78,2,7
Amiens,37,42,-5,45,12,9,17,18,17,359,602,102,181,503,483,140,212,74,56,4,2
